COOPID, YEAR, MONTH, DAY, meanTemp
80211,2011,1,1,57.00000
80211,2011,1,2,62.50000
80211,2011,1,3,-99.90000
80211,2011,1,4,49.00000
80211,2011,1,5,48.50000
80211,2011,1,6,55.00000
80211,2011,1,7,48.00000
80211,2011,1,8,51.50000
80211,2011,1,9,49.00000
80211,2011,1,10,-99.90000
80211,2011,1,11,48.50000
80211,2011,1,12,39.00000
80211,2011,1,13,37.50000
80211,2011,1,14,37.50000
80211,2011,1,15,39.00000
80211,2011,1,16,44.00000
80211,2011,1,17,47.50000
80211,2011,1,18,-99.90000
80211,2011,1,19,57.50000
80211,2011,1,20,55.50000
80211,2011,1,21,54.50000
80211,2011,1,22,41.00000
80211,2011,1,23,40.00000
80211,2011,1,24,41.50000
80211,2011,1,25,47.50000
80211,2011,1,26,-99.90000
80211,2011,1,27,45.00000
80211,2011,1,28,50.50000
80211,2011,1,29,48.00000
80211,2011,1,30,56.50000
80211,2011,1,31,57.00000
80211,2011,2,1,58.50000
80211,2011,2,2,62.50000
80211,2011,2,3,56.50000
80211,2011,2,4,-99.90000
80211,2011,2,5,-99.90000
80211,2011,2,6,49.00000
80211,2011,2,7,50.00000
80211,2011,2,8,47.50000
80211,2011,2,9,45.50000
80211,2011,2,10,45.50000
80211,2011,2,11,42.50000
80211,2011,2,12,43.50000
80211,2011,2,13,46.50000
80211,2011,2,14,50.00000
80211,2011,2,15,53.50000
80211,2011,2,16,56.00000
80211,2011,2,17,54.50000
80211,2011,2,18,57.00000
80211,2011,2,19,59.00000
80211,2011,2,20,66.00000
80211,2011,2,21,64.00000
80211,2011,2,22,65.00000
80211,2011,2,23,69.00000
80211,2011,2,24,68.00000
80211,2011,2,25,65.50000
80211,2011,2,26,67.50000
80211,2011,2,27,66.00000
80211,2011,2,28,66.00000
80211,2011,2,29,-99.90000
80211,2011,3,1,68.00000
80211,2011,3,2,64.00000
80211,2011,3,3,61.50000
80211,2011,3,4,-99.90000
80211,2011,3,5,-99.90000
80211,2011,3,6,-99.90000
80211,2011,3,7,-99.90000
80211,2011,3,8,-99.90000
80211,2011,3,9,57.50000
80211,2011,3,10,61.00000
80211,2011,3,11,51.00000
80211,2011,3,12,54.00000
80211,2011,3,13,56.00000
80211,2011,3,14,59.00000
80211,2011,3,15,65.00000
80211,2011,3,16,66.50000
80211,2011,3,17,65.50000
80211,2011,3,18,64.00000
80211,2011,3,19,61.00000
80211,2011,3,20,65.00000
80211,2011,3,21,-99.90000
80211,2011,3,22,68.50000
80211,2011,3,23,69.00000
80211,2011,3,24,-99.90000
80211,2011,3,25,66.00000
80211,2011,3,26,62.50000
80211,2011,3,27,70.50000
80211,2011,3,28,75.00000
80211,2011,3,29,69.00000
80211,2011,3,30,65.00000
80211,2011,3,31,67.00000
80211,2011,4,1,60.00000
80211,2011,4,2,-99.90000
80211,2011,4,3,69.50000
80211,2011,4,4,68.50000
80211,2011,4,5,65.50000
80211,2011,4,6,-99.90000
80211,2011,4,7,60.00000
80211,2011,4,8,-99.90000
80211,2011,4,9,75.00000
80211,2011,4,10,72.00000
80211,2011,4,11,71.50000
80211,2011,4,12,73.50000
80211,2011,4,13,67.00000
80211,2011,4,14,67.00000
80211,2011,4,15,-99.90000
80211,2011,4,16,69.00000
80211,2011,4,17,63.50000
80211,2011,4,18,63.50000
80211,2011,4,19,-99.90000
80211,2011,4,20,76.00000
80211,2011,4,21,76.00000
80211,2011,4,22,72.00000
80211,2011,4,23,73.00000
80211,2011,4,24,-99.90000
80211,2011,4,25,74.50000
80211,2011,4,26,-99.90000
80211,2011,4,27,80.00000
80211,2011,4,28,78.50000
80211,2011,4,29,68.50000
80211,2011,4,30,68.50000
80211,2011,5,1,-99.90000
80211,2011,5,2,72.00000
80211,2011,5,3,73.00000
80211,2011,5,4,73.50000
80211,2011,5,5,67.00000
80211,2011,5,6,66.50000
80211,2011,5,7,69.00000
80211,2011,5,8,-99.90000
80211,2011,5,9,78.00000
80211,2011,5,10,79.50000
80211,2011,5,11,77.00000
80211,2011,5,12,76.50000
80211,2011,5,13,77.50000
80211,2011,5,14,76.00000
80211,2011,5,15,71.50000
80211,2011,5,16,64.00000
80211,2011,5,17,65.00000
80211,2011,5,18,61.50000
80211,2011,5,19,65.00000
80211,2011,5,20,69.00000
80211,2011,5,21,74.50000
80211,2011,5,22,73.00000
80211,2011,5,23,75.00000
80211,2011,5,24,77.50000
80211,2011,5,25,78.00000
80211,2011,5,26,78.50000
80211,2011,5,27,81.50000
80211,2011,5,28,-99.90000
80211,2011,5,29,79.50000
80211,2011,5,30,82.00000
80211,2011,5,31,82.00000
80211,2011,6,1,82.00000
80211,2011,6,2,85.00000
80211,2011,6,3,80.50000
80211,2011,6,4,81.50000
80211,2011,6,5,-99.90000
80211,2011,6,6,84.50000
80211,2011,6,7,88.00000
80211,2011,6,8,82.00000
80211,2011,6,9,80.00000
80211,2011,6,10,80.50000
80211,2011,6,11,82.50000
80211,2011,6,12,84.00000
80211,2011,6,13,84.50000
80211,2011,6,14,84.50000
80211,2011,6,15,88.00000
80211,2011,6,16,88.50000
80211,2011,6,17,84.00000
80211,2011,6,18,83.00000
80211,2011,6,19,83.00000
80211,2011,6,20,86.50000
80211,2011,6,21,85.50000
80211,2011,6,22,84.00000
80211,2011,6,23,86.50000
80211,2011,6,24,87.00000
80211,2011,6,25,84.50000
80211,2011,6,26,84.50000
80211,2011,6,27,-99.90000
80211,2011,6,28,84.50000
80211,2011,6,29,83.50000
80211,2011,6,30,84.00000
80211,2011,7,1,81.00000
80211,2011,7,2,-99.90000
80211,2011,7,3,82.50000
80211,2011,7,4,82.50000
80211,2011,7,5,85.50000
80211,2011,7,6,-99.90000
80211,2011,7,7,84.50000
80211,2011,7,8,-99.90000
80211,2011,7,9,-99.90000
80211,2011,7,10,84.50000
80211,2011,7,11,86.00000
80211,2011,7,12,85.00000
80211,2011,7,13,83.00000
80211,2011,7,14,83.00000
80211,2011,7,15,-99.90000
80211,2011,7,16,84.00000
80211,2011,7,17,84.50000
80211,2011,7,18,80.00000
80211,2011,7,19,84.50000
80211,2011,7,20,84.00000
80211,2011,7,21,85.50000
80211,2011,7,22,85.50000
80211,2011,7,23,86.00000
80211,2011,7,24,85.00000
80211,2011,7,25,85.00000
80211,2011,7,26,85.50000
80211,2011,7,27,83.50000
80211,2011,7,28,81.00000
80211,2011,7,29,84.50000
80211,2011,7,30,-99.90000
80211,2011,7,31,86.00000
80211,2011,8,1,87.00000
80211,2011,8,2,-99.90000
80211,2011,8,3,86.50000
80211,2011,8,4,85.50000
80211,2011,8,5,87.50000
80211,2011,8,6,86.00000
80211,2011,8,7,-99.90000
80211,2011,8,8,87.00000
80211,2011,8,9,-99.90000
80211,2011,8,10,84.00000
80211,2011,8,11,82.50000
80211,2011,8,12,85.00000
80211,2011,8,13,86.00000
80211,2011,8,14,85.50000
80211,2011,8,15,83.00000
80211,2011,8,16,84.50000
80211,2011,8,17,81.50000
80211,2011,8,18,83.50000
80211,2011,8,19,83.50000
80211,2011,8,20,84.50000
80211,2011,8,21,85.50000
80211,2011,8,22,86.00000
80211,2011,8,23,85.00000
80211,2011,8,24,86.00000
80211,2011,8,25,-99.90000
80211,2011,8,26,85.00000
80211,2011,8,27,-99.90000
80211,2011,8,28,84.50000
80211,2011,8,29,84.50000
80211,2011,8,30,-99.90000
80211,2011,8,31,85.50000
80211,2011,9,1,83.00000
80211,2011,9,2,83.00000
80211,2011,9,3,82.50000
80211,2011,9,4,82.50000
80211,2011,9,5,81.50000
80211,2011,9,6,79.00000
80211,2011,9,7,73.00000
80211,2011,9,8,72.00000
80211,2011,9,9,71.50000
80211,2011,9,10,74.00000
80211,2011,9,11,77.00000
80211,2011,9,12,76.50000
80211,2011,9,13,80.00000
80211,2011,9,14,82.50000
80211,2011,9,15,81.00000
80211,2011,9,16,79.50000
80211,2011,9,17,79.50000
80211,2011,9,18,79.00000
80211,2011,9,19,76.50000
80211,2011,9,20,-99.90000
80211,2011,9,21,82.50000
80211,2011,9,22,81.00000
80211,2011,9,23,81.00000
80211,2011,9,24,80.00000
80211,2011,9,25,81.00000
80211,2011,9,26,81.50000
80211,2011,9,27,81.50000
80211,2011,9,28,81.50000
80211,2011,9,29,81.00000
80211,2011,9,30,79.00000
80211,2011,10,1,73.00000
80211,2011,10,2,66.50000
80211,2011,10,3,65.00000
80211,2011,10,4,67.50000
80211,2011,10,5,-99.90000
80211,2011,10,6,72.50000
80211,2011,10,7,73.50000
80211,2011,10,8,76.50000
80211,2011,10,9,76.50000
80211,2011,10,10,74.50000
80211,2011,10,11,71.50000
80211,2011,10,12,75.00000
80211,2011,10,13,72.50000
80211,2011,10,14,72.50000
80211,2011,10,15,71.00000
80211,2011,10,16,73.50000
80211,2011,10,17,74.50000
80211,2011,10,18,74.00000
80211,2011,10,19,66.50000
80211,2011,10,20,57.50000
80211,2011,10,21,51.50000
80211,2011,10,22,-99.90000
80211,2011,10,23,-99.90000
80211,2011,10,24,-99.90000
80211,2011,10,25,-99.90000
80211,2011,10,26,-99.90000
80211,2011,10,27,-99.90000
80211,2011,10,28,-99.90000
80211,2011,10,29,-99.90000
80211,2011,10,30,58.00000
80211,2011,10,31,60.00000
80211,2011,11,1,63.00000
80211,2011,11,2,62.00000
80211,2011,11,3,62.50000
80211,2011,11,4,62.00000
80211,2011,11,5,55.00000
80211,2011,11,6,60.00000
80211,2011,11,7,-99.90000
80211,2011,11,8,67.00000
80211,2011,11,9,68.50000
80211,2011,11,10,-99.90000
80211,2011,11,11,-99.90000
80211,2011,11,12,50.50000
80211,2011,11,13,-99.90000
80211,2011,11,14,65.50000
80211,2011,11,15,68.00000
80211,2011,11,16,-99.90000
80211,2011,11,17,73.50000
80211,2011,11,18,58.00000
80211,2011,11,19,-99.90000
80211,2011,11,20,65.50000
80211,2011,11,21,71.50000
80211,2011,11,22,70.00000
80211,2011,11,23,73.00000
80211,2011,11,24,-99.90000
80211,2011,11,25,63.00000
80211,2011,11,26,-99.90000
80211,2011,11,27,70.00000
80211,2011,11,28,62.00000
80211,2011,11,29,60.00000
80211,2011,11,30,50.50000
80211,2011,12,1,46.00000
80211,2011,12,2,54.00000
