Wavelength [nm],Intensity (a.u)
181.232,367.979764997959
181.576,210.644986307869
181.919,141.235771713158
182.263,43.172175993522
182.607,174.997831964167
182.950,-6.4086703757445
183.294,82.8133704314629
183.637,63.2372170736392
183.981,119.695573812972
184.325,43.746161321799
184.668,31.1663945664962
185.012,-21.3954836962124
185.355,143.994040111701
185.699,-30.273529479901
186.043,-64.4419136146704
186.386,42.4504072715839
186.730,201.451129948099
187.073,291.855285788576
187.417,-5.11580706139406
187.760,-31.5972895200054
188.104,35.2422758241495
188.447,144.023125715554
188.791,21.2081314623356
189.134,-90.8222210556269
189.478,-106.596566836039
189.821,30.5161710431178
190.165,-0.96693526705106
190.508,1.21535822749138
190.851,17.7129180977742
191.195,123.414273341497
191.538,124.829269359509
191.882,56.9723597566287
192.225,104.069921354453
192.569,187.628186215957
192.912,245.804698283474
193.255,341.840832213561
193.599,283.298466295004
193.942,207.328818768263
194.285,-17.482383603851
194.629,-7.89304356276989
194.972,203.46124744912
195.315,249.539296751221
195.659,162.972359756629
196.002,156.430894953509
196.345,168.214814042052
196.688,276.581390591959
197.032,94.3311652975002
197.375,153.761337565879
197.718,70.1611573398113
198.061,50.2449880689383
198.405,-58.6827440857887
198.748,60.5002721001705
199.091,168.506954694788
199.434,149.141823490461
199.777,-43.2422758241495
200.121,-6.88798480480909
200.464,45.9971092855558
200.807,76.3600724426409
201.150,-33.3196024394905
201.493,7.00578142888844
201.836,119.736043813328
202.180,158.735321136812
202.523,154.069377146661
202.866,171.527011220654
203.209,177.904427940647
203.552,28.7620602498452
203.895,-56.081662684679
204.238,-60.4207774524887
204.581,111.124300725758
204.924,277.190064489841
205.267,240.309484937539
205.610,251.849682837725
205.953,156.302980828409
206.296,56.7129180977742
206.639,-52.9233960658312
206.982,-65.2307129700979
207.325,31.9154466018081
207.668,-20.7172541717688
208.011,-150.759348019958
208.354,-148.350856105487
208.697,-16.2475130359332
209.040,25.191331366698
209.383,20.1140047411124
209.726,18.7221344312032
210.069,67.655648012956
210.412,96.1748882383108
210.755,10.7635056103269
211.097,87.8531177590291
211.440,201.774345780412
211.783,190.285636541744
212.126,12.0303525049239
212.469,29.3535683353742
212.812,191.678229524444
213.154,380.780849891404
213.497,228.464138155182
213.840,239.573985313376
214.183,261.658538719018
214.526,229.626740862926
214.868,90.0691986779372
215.211,20.4625143408775
215.554,97.6751603384813
215.897,123.858899186055
216.239,-38.1743440230688
216.582,46.8133704314629
216.925,25.3969290529688
217.268,103.969647495076
217.610,-38.3940383431812
217.953,92.0513101816177
218.296,148.128636807203
218.638,52.895033116142
218.981,-132.233782182137
219.324,-84.7971058090528
219.666,84.4379432499409
220.009,242.333154857159
220.351,289.819874535004
220.694,346.972538212314
221.037,358.777236493925
221.379,136.14959448576
221.722,73.0289071463049
222.064,59.9978319641668
222.407,223.356459048887
222.750,127.148871794343
223.092,-3.45492183665434
223.435,57.9188815156619
223.777,216.884915615122
224.120,337.06793179363
224.462,198.733153099815
224.805,163.461970140537
225.147,124.746883998315
225.490,220.977596960962
225.832,217.037579290569
226.175,321.399819766482
226.517,274.274073687692
226.859,184.269737613698
227.202,7.67244809555511
227.544,25.7837406049172
227.887,51.5732626517614
228.229,20.9210495452086
228.571,-126.770188197494
228.914,-25.1288152684768
229.256,59.0462514311075
229.599,253.605961656819
229.941,14.2401077871521
230.283,66.8251117616892
230.626,75.3145436880489
230.968,304.127914115787
231.310,250.840109537045
231.653,321.975250462691
231.995,292.250769495964
232.337,247.749052035312
232.679,30.0859987586737
233.022,142.874075437586
233.364,428.840109537045
233.706,383.081662684679
234.048,121.827824006478
234.391,34.4778690685829
234.733,219.379584764441
235.075,405.020235002041
235.417,399.346341549729
235.759,406.783740604917
236.102,350.461970140537
236.444,134.942908387631
236.786,-35.4287269165119
237.128,-10.2509479646882
237.470,128.066486433148
237.812,74.8742539137602
238.154,-68.0158989299089
238.497,-61.1743440230688
238.839,184.702800600479
239.181,187.942908387631
239.523,235.10695643723
239.865,207.482205127676
240.207,287.353568335374
240.549,157.594398799042
240.891,-6.17922431230545
241.233,205.187352245053
241.575,398.088166795671
241.917,323.525565852722
242.259,-21.2906952959796
242.601,-17.6775068460653
242.943,242.762060249845
243.285,353.858899186055
243.627,208.568926562866
243.969,74.8827475855748
244.311,171.896478469173
244.653,141.895033116142
244.995,102.75266542534
245.337,213.966756783426
245.679,381.362240479638
246.021,614.362240479638
246.362,451.385366198917
246.704,453.783017928402
247.046,305.988437142223
247.388,357.779404538373
247.730,128.043182233969
248.072,140.001989553372
248.414,161.88347026209
248.755,71.9094867060582
249.097,5.65709336598714
249.439,9.95284743110339
249.781,304.511834954222
250.123,232.83071471254
250.464,15.7447159538666
250.806,-65.3947610196968
251.148,163.015176252462
251.490,300.452575308581
251.831,141.860344553987
252.173,39.7895220393936
252.515,54.8439014256001
252.856,59.8337839096785
253.198,18.7085820275048
253.540,-13.8778673112392
253.881,115.208131462336
254.223,137.501717468103
254.565,82.6912377408395
254.906,82.0751585811377
255.248,246.535683353742
255.590,336.84444561104
255.931,168.454743353029
256.273,81.8523950825135
256.614,112.059259645641
256.956,225.58283594499
257.298,101.042638037354
257.639,268.545078163346
257.981,254.659984072049
258.322,274.945620636145
258.664,-80.5438112939398
259.005,-51.4766021768252
259.347,101.614455332359
259.688,197.166938766837
260.030,184.468474244078
260.371,146.013008216396
260.713,195.888707488775
261.054,122.757001499335
261.396,68.9224948982398
261.737,37.8379415074984
262.079,170.322493153935
262.420,151.269737613698
262.761,68.6269193391005
263.103,107.610297730813
263.444,128.642095592494
263.786,294.266124223669
264.127,52.2075872470935
264.468,13.4975598702828
264.810,36.780305698514
265.151,168.644263627628
265.492,155.790967392425
265.834,184.661607916156
