Wavelength [nm],Intensity
181.232,263.978949069977
181.576,150.977445432916
181.919,87.5651711101333
182.263,-23.500988950332
182.607,62.9977445432451
182.950,-66.7316006422043
183.294,90.1526192426682
183.637,102.233341423174
183.981,131.696739422778
184.325,57.416033414503
184.668,39.4929965088765
185.012,22.6020102376739
185.355,114.673907299836
185.699,-49.2576771775881
186.043,-70.4328509966532
186.386,85.1217946633697
186.730,221.455879812439
187.073,234.52955806752
187.417,-18.1070358504852
187.760,-53.5944920505087
188.104,41.5719374815623
188.447,119.024058204144
188.791,77.8831905225913
189.134,-39.481719220678
189.478,-50.260406901439
189.821,55.1902101933956
190.165,41.7145055135091
190.508,17.8907086948554
190.851,-3.28521692504486
191.195,73.0842037200928
191.538,77.5024925967058
191.882,52.6513527532419
192.225,111.086181620757
192.569,232.973408768574
192.912,280.476930742462
193.255,360.514521678289
193.599,282.310501217842
193.942,251.342077583075
194.285,49.1917138248682
194.629,92.1112691983581
194.972,261.466405277451
195.315,318.214268401265
195.659,208.984686086575
196.002,169.7681622232
196.345,196.543368371824
196.688,264.244618703922
197.032,103.997744543245
197.375,165.765154945354
197.718,109.167655616999
198.061,103.921533296506
198.405,-17.3366181651751
198.748,66.8403368244569
199.091,144.167181362708
199.434,147.800767987967
199.777,-16.238604148229
200.121,39.1165319308639
200.464,65.3303260578153
200.807,102.694483966256
201.150,-39.3190487738078
201.493,13.6726812177027
201.836,107.405507949491
202.180,160.404756133755
202.523,70.4055079494913
202.866,138.868154148261
203.209,140.247348427773
203.552,43.4325734277566
203.895,-95.4182888691624
204.238,-89.4243034248551
204.581,87.1293128579855
204.924,206.864395047228
205.267,172.641856643061
205.610,187.843621656299
205.953,193.968423604965
206.296,143.381449741622
206.639,20.7463594699899
206.982,-35.2265750517448
207.325,45.5787038529913
207.668,5.61403934160868
208.011,-87.0829776426156
208.354,-85.6714551448822
208.697,47.4360549747944
209.040,84.5458205342293
209.383,34.4653759002686
209.726,33.7378119130929
210.069,76.3353112339973
210.412,143.84860684971
210.755,55.100743740797
211.097,120.860635946194
211.440,204.112021014094
211.783,215.617046619455
212.126,63.0315763950348
212.469,103.021050930023
212.812,216.012029102072
213.154,360.118787385523
213.497,206.802745888631
213.840,266.583689024051
214.183,316.338318526745
214.526,278.63857181867
214.868,162.08542979757
215.211,75.8144974311193
215.554,178.355610340834
215.897,182.199983820319
216.239,44.8320668290059
216.582,105.152619242668
216.925,77.3994933937987
217.268,121.301756938299
217.610,-28.7298194567363
217.953,72.0533791407943
218.296,159.800490433971
218.638,86.57090810438
218.981,-75.8829938073953
219.324,-42.4421503543854
219.666,125.455602258444
220.009,263.679921855529
220.351,271.826052273313
220.694,307.304764214282
221.037,319.115028291941
221.379,194.822293187181
221.722,122.030072756112
222.064,111.997744543245
222.407,236.690724870811
222.750,117.821541349093
223.092,-32.7797170728445
223.435,-23.737615197897
223.777,178.227049306035
224.120,302.737337643902
224.462,219.402500671645
224.805,177.133823767304
225.147,189.750118563573
225.490,272.976693613455
225.832,290.372427919259
226.175,367.402500671645
226.517,340.938350852579
226.859,229.600506606201
227.202,52.0060145510361
227.544,43.455127996703
227.887,94.249603882432
228.229,30.931306908528
228.571,-91.4275882641475
228.914,-80.4539019117753
229.256,1.38144974162181
229.599,151.93684720993
229.941,-0.0969846397638321
230.283,89.8180598169565
230.626,106.313786040371
230.968,271.799738610784
231.310,203.847103203336
231.653,248.98769334952
231.995,272.260881155729
232.337,251.419040692349
232.679,43.0894664525986
233.022,147.549105366071
233.364,437.513769870003
233.706,450.751622202496
234.048,250.834322283665
234.391,159.817030454675
234.733,333.381449741622
235.075,482.021050930023
235.417,470.346866074329
235.759,494.455127996703
236.102,417.800490433971
236.444,218.273939640572
236.786,35.23409323891
237.128,73.4190406923493
237.470,185.402500671645
237.812,168.202516843875
238.154,-12.3498733484497
238.497,-2.50126650432745
238.839,144.370924280336
239.181,189.940606307238
239.523,219.777935865025
239.865,200.821541349093
240.207,238.354384263357
240.549,160.258151439329
240.891,2.48021557430426
241.233,249.848132580519
241.575,380.091721907258
241.917,306.866650486986
242.259,-58.6223093519608
242.601,-35.0112772835419
242.943,172.76590676109
243.285,308.199983820319
243.627,197.245092958212
243.969,113.891460518042
244.311,220.572411735853
244.653,206.237574771047
244.995,207.756133119265
245.337,270.632082997511
245.679,367.696739422778
246.021,523.696739422778
246.362,373.387464297314
246.704,404.121042847633
247.046,309.654637564595
247.388,334.117283754051
247.730,74.7250309785207
248.072,78.0155106286208
248.414,130.225545674562
248.755,116.919277826945
249.097,60.6701482137044
249.439,94.6310536464055
249.781,345.519032602509
250.123,294.837329561512
250.464,39.4145297755798
250.806,-39.7305712724725
251.148,156.682454864184
251.490,300.12405012548
251.831,143.201487481594
252.173,24.7944758782784
252.515,51.1709404488405
252.856,73.1604149838289
253.198,25.0436054952443
253.540,-10.8729426115751
253.881,112.216523855925
254.223,187.508507152398
254.565,155.358895176401
254.906,135.078189171851
255.248,291.210509300232
255.590,352.518280779322
255.931,211.459638913473
256.273,153.526550789674
256.614,194.061649147421
256.956,256.579455676178
257.298,96.0443573147059
257.639,184.886949593822
257.981,255.339822143316
258.322,280.956868777672
258.664,32.7944758782784
259.005,22.5310617138942
259.347,166.292457580566
259.688,249.840336824457
260.030,228.807256797949
260.371,126.680199407662
260.713,136.884219892323
261.054,58.7606440360347
261.396,28.9328105549018
261.737,12.1781810820103
262.079,99.6553893831248
262.420,119.933839939535
262.761,40.2919832927485
263.103,33.9413581229746
263.444,114.974438156933
263.786,267.930080845952
264.127,114.869183510542
264.468,58.1574077059825
264.810,96.4381137142579
265.151,290.310026946788
265.492,267.795979524652
265.834,314.328070600828
266.175,429.261910532912
266.516,416.228830498954
266.858,202.535098354022
267.199,54.6809512261922
267.540,57.8606359461943
267.881,35.9651387731234
268.223,-71.8654244244099
268.564,-16.4325734277566
268.905,102.078189171851
269.246,197.717512806257
269.588,98.6791700323423
269.929,55.8877014319102
270.270,171.952357868354
270.611,221.452872534593
270.952,136.906774453819
271.294,228.169911071658
271.635,234.0726488928
271.976,325.199983820319
272.317,121.337092427847
272.658,227.667418485546
272.999,197.220560496052
273.340,139.179210459193
273.681,-86.8586580455303
274.023,133.974160591761
274.364,263.871161411206
274.705,383.779439503948
275.046,113.437836167713
275.387,127.407011580964
275.728,269.921810828149
276.069,223.611032067488
276.410,311.142093777657
276.751,336.578426291545
277.092,578.251107513905
277.433,302.977919707696
277.774,192.813745607932
278.115,263.792694677909
278.456,501.510762592157
278.797,488.702753974746
279.138,259.781694958607
279.479,268.5754190286
279.820,392.888453255097
280.160,567.647871193166
280.501,488.885723523796
280.842,554.399493393799
281.183,583.519032602509
281.524,685.485952576002
281.865,743.993707875411
282.206,770.116254369418
282.546,819.818534086148
282.887,665.328822419824
283.228,517.057138238102
283.569,364.858380491535
283.910,324.663381834825
284.251,270.242085695267
284.591,199.70726488779
284.932,175.850388035178
285.273,385.949628129602
285.614,337.912511448065
285.954,224.270654827356
286.295,176.756133119265
286.636,401.204494744539
286.976,432.431544065475
287.317,393.168129901091
287.658,416.763373752435
287.999,587.354384263357
288.339,394.499011049668
288.680,186.372427919259
289.020,183.517528971036
289.361,335.609250863393
289.702,303.001226077477
290.042,122.663381834825
290.383,204.206750199199
290.724,319.372427919259
291.064,328.08044461906
291.405,201.208253845572
291.745,233.5754190286
292.086,423.847855011622
292.426,544.027065481991
292.767,541.410770674547
293.107,631.242837503552
293.448,904.260881155729
293.788,1375.32779306173
294.129,1788.36012125015
294.469,2562.01851792137
